鮭	鲑
榪	杩
鋟	锓
鋪	铺
顎	颚
鉄	铁
暈	晕
鶼	鹣
賃	赁
囑	嘱
溝	沟
灃	沣
糾	纠
飲	饮
鶡	鹖
襆	幞
騫	骞
勸	劝
凱	凯
餏	饻
攪	搅
鷖	鹥
鑼	锣
弳	弪
賁	贲
蠨	蟏
証	证
闍	阇
蔣	蒋
賵	赗
帥	帅
邊	边
后	后
閘	闸
綢	绸
簽	签
嫗	妪
價	价
繸	䍁
阪	坂
繪	绘
嫋	袅
駁	驳
脅	胁
鴰	鸹
爍	烁
濜	浕
篋	箧
贅	赘
錁	锞
罋	瓮
動	动
鹽	盐
靂	雳
殘	残
鏈	链
韞	韫
厲	厉
暱	昵
畱	留
垻	坝
瑋	玮
緞	缎
經	经
漵	溆
訴	诉
釕	钌
況	况
壺	壶
鮦	鲖
兒	儿
闃	阒
鴦	鸯
囘	回
惲	恽
憖	慭
紜	纭
過	过
釤	钐
鐓	镦
鬆	松
鯊	鲨
秈	籼
膿	脓
軫	轸
顙	颡
餵	喂
捨	舍
胜	胜
擇	择
魘	魇
殞	殒
買	买
選	选
鏘	锵
擧	举
閣	阁
餘	馀
慫	怂
銫	铯
氌	氇
誡	诫
嶗	崂
攙	搀
屍	尸
銖	铢
擻	擞
楓	枫
鎖	锁
縕	缊
鄉	乡
擯	摈
癤	疖
點	点
閩	闽
閏	闰
鉈	铊
覻	觑
鑤	刨
諉	诿
欄	栏
懞	蒙
賄	贿
毧	绒
瘂	痖
鐿	镱
讛	呓
聰	聪
滅	灭
鱧	鳢
醞	酝
鵯	鹎
麥	麦
罏	垆
籜	箨
錟	锬
礮	炮
繖	伞
鸏	鹲
擾	扰
諏	诹
懲	惩
謡	谣
檁	檩
龍	龙
驊	骅
鄶	郐
筑	筑
銹	锈
預	预
蝕	蚀
鍫	锹
粵	粤
鞉	鼗
澱	淀
狀	状
翽	翙
驫	骉
纇	颣
鮞	鲕
憊	惫
襍	杂
闕	阙
墻	墙
釅	酽
鷚	鹨
礪	砺
畫	画
礄	硚
牋	笺
讓	让
鑿	凿
飛	飞
嶇	岖
傚	效
噦	哕
噥	哝
贖	赎
鹹	咸
滲	渗
徹	彻
階	阶
驪	骊
償	偿
淶	涞
螢	萤
槍	枪
餺	馎
壟	垄
奼	姹
斗	斗
膾	脍
顓	颛
詔	诏
藶	苈
薳	䓕
簑	蓑
紿	绐
靨	靥
儐	傧
颸	飔
朴	朴
斕	斓
禮	礼
薩	萨
燒	烧
祐	佑
鋦	锔
詬	诟
頭	头
